# Digest of `go build -a -gcflags=-m std` (go1.24.13, amd64), per GOOS: verdict lines per std package directory.
# The full outputs are ~137K lines per GOOS and are regenerated by the command in README.md; this digest is what they are checked against.
TOTAL windows: lines=136781 does-not-escape=18767 escapes-to-heap=22278 leaking-param=14676 moved-to-heap=943 can-inline=13961 inlining-call=60900
TOTAL linux: lines=137238 does-not-escape=18702 escapes-to-heap=22363 leaking-param=14711 moved-to-heap=963 can-inline=14253 inlining-call=61016
TOTAL darwin: lines=136368 does-not-escape=18685 escapes-to-heap=22219 leaking-param=14603 moved-to-heap=920 can-inline=14099 inlining-call=60567

package	windows:does	windows:escapes	windows:leaking	windows:moved	linux:does	linux:escapes	linux:leaking	linux:moved	darwin:does	darwin:escapes	darwin:leaking	darwin:moved
debug/buildinfo	37	20	15	1	37	20	15	1	37	20	15	1
debug/dwarf	49	258	106	2	49	258	106	2	49	258	106	2
debug/elf	26	139	77	2	26	139	77	2	26	139	77	2
debug/gosym	39	57	54	1	39	57	54	1	39	57	54	1
debug/macho	23	87	26	2	23	87	26	2	23	87	26	2
debug/pe	51	102	17	4	51	102	17	4	51	102	17	4
debug/plan9obj	12	21	11	1	12	21	11	1	12	21	11	1
embed	13	15	20	0	13	15	20	0	13	15	20	0
encoding/ascii85	6	5	5	0	6	5	5	0	6	5	5	0
encoding/asn1	57	200	46	0	63	200	40	0	63	200	40	0
encoding/base32	24	32	13	1	24	32	13	1	24	32	13	1
encoding/base64	23	37	11	4	23	37	11	4	23	37	11	4
encoding/binary	41	34	43	0	41	34	43	0	41	34	43	0
encoding/csv	10	19	15	0	10	19	15	0	10	19	15	0
encoding/gob	379	350	367	5	379	350	367	5	379	350	367	5
encoding/hex	14	17	9	1	14	17	9	1	14	17	9	1
encoding/json	155	262	122	6	155	262	122	6	155	262	122	6
encoding/pem	15	16	9	2	15	16	9	2	15	16	9	2
encoding/xml	64	212	142	6	64	212	142	6	64	212	142	6
errors	0	9	16	0	0	9	16	0	0	9	16	0
expvar	31	23	37	0	31	23	37	0	31	23	37	0
flag	80	77	181	1	80	77	181	1	80	77	181	1
fmt	83	144	126	3	83	144	126	3	83	144	126	3
go/ast	138	92	150	5	138	92	150	5	138	92	150	5
go/build	100	138	81	3	99	139	82	3	99	139	82	3
go/build/constraint	18	40	37	0	18	40	37	0	18	40	37	0
go/constant	62	151	58	0	62	151	58	0	62	151	58	0
go/doc	91	132	120	14	91	132	120	14	91	132	120	14
go/doc/comment	87	64	48	4	87	64	48	4	87	64	48	4
go/format	3	14	12	3	3	14	12	3	3	14	12	3
go/importer	2	11	13	0	2	11	13	0	2	11	13	0
go/internal/gccgoimporter	74	132	126	5	74	132	126	5	74	132	126	5
go/internal/gcimporter	17	67	55	2	17	67	55	2	17	67	55	2
go/internal/srcimporter	15	14	19	4	14	14	20	4	14	14	20	4
go/parser	173	483	172	3	173	483	172	3	173	483	172	3
go/printer	253	296	123	7	253	296	123	7	253	296	123	7
go/scanner	28	32	33	0	28	32	33	0	28	32	33	0
go/token	26	26	33	1	26	26	33	1	26	26	33	1
go/types	940	1109	1182	79	940	1109	1182	79	940	1109	1182	79
go/version	3	1	2	0	3	1	2	0	3	1	2	0
hash/adler32	14	4	2	0	14	4	2	0	14	4	2	0
hash/crc32	30	26	8	9	30	26	8	9	30	26	8	9
hash/crc64	22	9	3	7	22	9	3	7	22	9	3	7
hash/fnv	70	18	12	6	70	18	12	6	70	18	12	6
hash/maphash	20	4	1	0	20	4	1	0	20	4	1	0
html	8	8	2	6	8	8	2	6	8	8	2	6
html/template	102	225	192	4	102	225	192	4	102	225	192	4
image	110	77	44	0	110	77	44	0	110	77	44	0
image/color	1	18	17	0	1	18	17	0	1	18	17	0
image/draw	34	4	18	2	34	4	18	2	34	4	18	2
image/gif	34	40	36	5	34	40	36	5	34	40	36	5
image/internal/imageutil	2	0	0	0	2	0	0	0	2	0	0	0
image/jpeg	38	64	41	4	38	64	41	4	38	64	41	4
image/png	15	61	34	2	15	61	34	2	15	61	34	2
index/suffixarray	184	21	27	0	184	21	27	0	184	21	27	0
internal/abi	42	7	25	0	42	7	25	0	42	7	25	0
internal/asan	2	0	0	0	2	0	0	0	2	0	0	0
internal/bisect	19	29	15	2	19	29	15	2	19	29	15	2
internal/buildcfg	23	37	6	0	23	37	6	0	23	37	6	0
internal/bytealg	26	0	8	0	26	0	8	0	26	0	8	0
internal/byteorder	12	0	6	0	12	0	6	0	12	0	6	0
internal/chacha8rand	8	3	7	0	8	3	7	0	8	3	7	0
internal/coverage	2	0	0	0	2	0	0	0	2	0	0	0
internal/coverage/calloc	0	1	1	0	0	1	1	0	0	1	1	0
internal/coverage/cfile	66	71	29	1	64	73	29	1	64	73	29	1
internal/coverage/cformat	15	35	11	0	15	35	11	0	15	35	11	0
internal/coverage/cmerge	12	8	1	0	12	8	1	0	12	8	1	0
internal/coverage/decodecounter	11	21	11	1	11	21	11	1	11	21	11	1
internal/coverage/decodemeta	16	35	16	2	16	35	16	2	16	35	16	2
internal/coverage/encodecounter	15	31	18	0	15	31	18	0	15	31	18	0
internal/coverage/encodemeta	19	42	24	2	19	42	24	2	19	42	24	2
internal/coverage/pods	11	7	8	0	11	7	8	0	11	7	8	0
internal/coverage/rtcov	0	1	2	0	0	1	2	0	0	1	2	0
internal/coverage/slicereader	12	8	3	1	12	8	3	1	12	8	3	1
internal/coverage/slicewriter	8	8	2	0	8	8	2	0	8	8	2	0
internal/coverage/stringtab	8	7	8	0	8	7	8	0	8	7	8	0
internal/coverage/uleb128	0	0	1	0	0	0	1	0	0	0	1	0
internal/cpu	8	2	1	0	8	2	1	0	8	2	1	0
internal/dag	30	42	13	0	30	42	13	0	30	42	13	0
internal/diff	10	17	4	1	10	17	4	1	10	17	4	1
internal/exportdata	21	26	8	5	21	26	8	5	21	26	8	5
internal/filepathlite	24	14	20	0	13	13	14	0	13	13	14	0
internal/fmtsort	4	14	5	0	4	14	5	0	4	14	5	0
internal/fuzz	171	256	136	17	180	250	136	13	180	250	136	13
internal/godebug	8	13	18	0	8	13	18	0	8	13	18	0
internal/godebugs	1	0	0	0	1	0	0	0	1	0	0	0
internal/goroot	14	4	2	0	10	7	4	0	10	7	4	0
internal/gover	8	2	6	0	8	2	6	0	8	2	6	0
internal/itoa	1	4	0	0	1	4	0	0	1	4	0	0
internal/lazyregexp	11	1	18	0	11	1	18	0	11	1	18	0
internal/lazytemplate	3	6	7	0	3	6	7	0	3	6	7	0
internal/msan	6	0	0	0	6	0	0	0	6	0	0	0
internal/obscuretestdata	1	5	2	0	1	5	2	0	1	5	2	0
internal/pkgbits	53	96	68	4	53	96	68	4	53	96	68	4
internal/platform	31	2	0	0	31	2	0	0	31	2	0	0
internal/poll	121	115	96	6	152	102	76	5	133	90	67	0
internal/profile	202	185	117	6	202	185	117	6	202	185	117	6
internal/profilerecord	2	0	0	0	2	0	0	0	2	0	0	0
internal/race	13	0	0	0	13	0	0	0	13	0	0	0
internal/reflectlite	45	49	33	0	45	49	33	0	45	49	33	0
internal/runtime/atomic	88	1	22	0	88	1	22	0	88	1	22	0
internal/runtime/exithook	1	0	2	0	1	0	2	0	1	0	2	0
internal/runtime/maps	53	15	134	0	53	15	134	0	53	15	134	0
internal/runtime/syscall	0	0	0	0	2	0	0	0	0	0	0	0
internal/saferio	0	4	2	0	0	4	2	0	0	4	2	0
internal/singleflight	4	5	8	0	4	5	8	0	4	5	8	0
internal/stringslite	13	1	6	0	13	1	6	0	13	1	6	0
internal/sync	265	758	6	0	293	838	6	0	279	798	6	0
